Opened /dev/xdma0_h2c_1 -> 3
Opened /dev/xdma0_c2h_1 -> 4
Successfully reset the FPGA!
pair,t12,t23,round,n_full,n_half,half_rows
BASE,-,-,0,0,0,
BASE,-,-,1,0,0,
Ac->Bc,0,0,0,1,1, 20538:0.50
Ac->Bc,0,0,1,1,1, 20538:0.50
Ac->Bc,0,1,0,1,1, 20538:0.50
Ac->Bc,0,1,1,1,1, 20538:0.50
Ac->Bc,0,2,0,1,1, 20538:0.50
Ac->Bc,0,2,1,1,1, 20538:0.50
Ac->Bc,1,1,0,1,1, 20538:0.50
Ac->Bc,1,1,1,1,1, 20538:0.50
Ac->Bc,2,1,0,1,1, 20538:0.51
Ac->Bc,2,1,1,1,1, 20538:0.51
Ac->Bc,4,2,0,1,1, 20538:0.65
Ac->Bc,4,2,1,1,1, 20538:0.73
Ac->Bc,8,2,0,1,1, 20538:0.66
Ac->Bc,8,2,1,1,1, 20538:0.74
Ac->Bc,30,1,0,1,1, 20538:0.50
Ac->Bc,30,1,1,1,1, 20538:0.50
Am->Bm,0,0,0,1,0,
Am->Bm,0,0,1,1,0,
Am->Bm,0,1,0,1,0,
Am->Bm,0,1,1,1,0,
Am->Bm,0,2,0,1,0,
Am->Bm,0,2,1,1,0,
Am->Bm,1,1,0,1,0,
Am->Bm,1,1,1,1,0,
Am->Bm,2,1,0,1,0,
Am->Bm,2,1,1,1,0,
Am->Bm,4,2,0,1,0,
Am->Bm,4,2,1,1,0,
Am->Bm,8,2,0,1,0,
Am->Bm,8,2,1,1,0,
Am->Bm,30,1,0,1,0,
Am->Bm,30,1,1,1,0,
Af->Bf,0,0,0,1,1, 21072:0.50
Af->Bf,0,0,1,1,1, 21072:0.50
Af->Bf,0,1,0,1,1, 21072:0.50
Af->Bf,0,1,1,1,1, 21072:0.50
Af->Bf,0,2,0,1,1, 21072:0.50
Af->Bf,0,2,1,1,1, 21072:0.50
Af->Bf,1,1,0,1,1, 21072:0.50
Af->Bf,1,1,1,1,1, 21072:0.50
Af->Bf,2,1,0,1,1, 21072:0.51
Af->Bf,2,1,1,1,1, 21072:0.53
Af->Bf,4,2,0,1,1, 21072:0.72
Af->Bf,4,2,1,1,0,
Af->Bf,8,2,0,1,1, 21072:0.73
Af->Bf,8,2,1,1,0,
Af->Bf,30,1,0,1,1, 21072:0.50
Af->Bf,30,1,1,1,1, 21072:0.50
Ac->Bm,0,0,0,1,1, 20862:0.50
Ac->Bm,0,0,1,1,1, 20862:0.50
Ac->Bm,0,1,0,1,1, 20862:0.50
Ac->Bm,0,1,1,1,1, 20862:0.50
Ac->Bm,0,2,0,1,1, 20862:0.50
Ac->Bm,0,2,1,1,1, 20862:0.50
Ac->Bm,1,1,0,1,1, 20862:0.50
Ac->Bm,1,1,1,1,1, 20862:0.50
Ac->Bm,2,1,0,1,1, 20862:0.51
Ac->Bm,2,1,1,1,1, 20862:0.52
Ac->Bm,4,2,0,1,1, 20862:0.63
Ac->Bm,4,2,1,1,1, 20862:0.69
Ac->Bm,8,2,0,1,1, 20862:0.64
Ac->Bm,8,2,1,1,1, 20862:0.71
Ac->Bm,30,1,0,1,1, 20862:0.50
Ac->Bm,30,1,1,1,1, 20862:0.50
Am->Bc,0,0,0,1,0,
Am->Bc,0,0,1,1,0,
Am->Bc,0,1,0,1,0,
