Opened /dev/xdma0_h2c_1 -> 3
Opened /dev/xdma0_c2h_1 -> 4
Successfully reset the FPGA!
pair,t12,t23,round,n_full,n_half,half_rows
Am->Bc,0,1,1,1,0,
Am->Bc,0,2,0,1,0,
Am->Bc,0,2,1,1,0,
Am->Bc,1,1,0,1,0,
Am->Bc,1,1,1,1,0,
Am->Bc,2,1,0,1,0,
Am->Bc,2,1,1,1,0,
Am->Bc,4,2,0,1,0,
Am->Bc,4,2,1,1,0,
Am->Bc,8,2,0,1,0,
Am->Bc,8,2,1,1,0,
Am->Bc,30,1,0,1,0,
Am->Bc,30,1,1,1,0,
Bc->Ac,0,0,0,2,2, 20420:0.25 20474:0.25
Bc->Ac,0,0,1,2,2, 20420:0.25 20474:0.25
Bc->Ac,0,1,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,0,1,1,2,2, 20420:0.50 20474:0.50
Bc->Ac,0,2,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,0,2,1,2,2, 20420:0.50 20474:0.50
Bc->Ac,1,1,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,1,1,1,2,2, 20420:0.50 20474:0.50
Bc->Ac,2,1,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,2,1,1,2,2, 20420:0.50 20474:0.50
Bc->Ac,4,2,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,4,2,1,2,2, 20420:0.50 20474:0.50
Bc->Ac,8,2,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,8,2,1,2,2, 20420:0.50 20474:0.50
Bc->Ac,30,1,0,2,2, 20420:0.50 20474:0.50
Bc->Ac,30,1,1,2,2, 20420:0.50 20474:0.50
Bm->Am,0,0,0,1,0,
Bm->Am,0,0,1,1,0,
Bm->Am,0,1,0,1,0,
Bm->Am,0,1,1,1,0,
Bm->Am,0,2,0,1,0,
Bm->Am,0,2,1,1,0,
Bm->Am,1,1,0,1,0,
Bm->Am,1,1,1,1,0,
Bm->Am,2,1,0,1,0,
Bm->Am,2,1,1,1,0,
Bm->Am,4,2,0,1,0,
Bm->Am,4,2,1,1,0,
Bm->Am,8,2,0,1,0,
Bm->Am,8,2,1,1,0,
Bm->Am,30,1,0,1,0,
Bm->Am,30,1,1,1,0,
Bc->Am,0,0,0,1,2, 19968:0.38 20164:0.25
Bc->Am,0,0,1,1,2, 19968:0.38 20164:0.25
Bc->Am,0,1,0,1,2, 19968:0.50 20164:0.50
Bc->Am,0,1,1,1,2, 19968:0.50 20164:0.50
Bc->Am,0,2,0,1,2, 19968:0.50 20164:0.50
Bc->Am,0,2,1,1,2, 19968:0.50 20164:0.50
Bc->Am,1,1,0,1,2, 19968:0.50 20164:0.50
Bc->Am,1,1,1,1,2, 19968:0.50 20164:0.50
Bc->Am,2,1,0,1,2, 19968:0.50 20164:0.50
Bc->Am,2,1,1,1,2, 19968:0.50 20164:0.50
Bc->Am,4,2,0,1,2, 19968:0.38 20164:0.50
Bc->Am,4,2,1,1,2, 19968:0.46 20164:0.50
Bc->Am,8,2,0,1,2, 19968:0.50 20164:0.50
Bc->Am,8,2,1,1,2, 19968:0.50 20164:0.50
Bc->Am,30,1,0,1,2, 19968:0.50 20164:0.50
Bc->Am,30,1,1,1,2, 19968:0.50 20164:0.50
