Opened /dev/xdma0_h2c_1 -> 3
Opened /dev/xdma0_c2h_1 -> 4
Successfully reset the FPGA!
phase,n_frac,t_frac,frac_init,retention,coverage_pct
A,0,0,ONE,0,33.3984
A,1,0,ONE,0,31.7513
A,2,0,ONE,0,31.2370
A,3,0,ONE,0,30.7693
A,4,0,ONE,0,31.1523
A,6,0,ONE,0,30.5779
A,8,0,ONE,0,30.2917
A,12,0,ONE,0,30.3574
A,16,0,ONE,0,30.5664
A,0,1,ONE,0,30.8594
A,1,1,ONE,0,30.9433
A,2,1,ONE,0,30.2605
A,3,1,ONE,0,30.5664
A,4,1,ONE,0,29.9805
A,6,1,ONE,0,30.1834
A,8,1,ONE,0,29.1992
A,12,1,ONE,0,29.3976
A,16,1,ONE,0,30.2742
A,0,2,ONE,0,31.1523
A,1,2,ONE,0,30.6252
A,2,2,ONE,0,30.3925
A,3,2,ONE,0,29.9355
A,4,2,ONE,0,30.2124
A,6,2,ONE,0,29.6875
A,8,2,ONE,0,28.7750
A,12,2,ONE,0,29.7852
A,16,2,ONE,0,29.8462
A,0,3,ONE,0,30.8594
A,1,3,ONE,0,30.3436
A,2,3,ONE,0,30.2910
A,3,3,ONE,0,30.6976
A,4,3,ONE,0,29.9957
A,6,3,ONE,0,28.9062
A,8,3,ONE,0,29.3884
A,12,3,ONE,0,30.0781
A,16,3,ONE,0,30.2734
A,0,0,ZERO,0,30.8594
A,1,0,ZERO,0,30.3703
A,2,0,ZERO,0,30.3917
A,3,0,ZERO,0,30.2917
A,4,0,ZERO,0,29.6875
A,6,0,ZERO,0,29.5250
A,8,0,ZERO,0,30.1758
A,12,0,ZERO,0,29.6165
A,16,0,ZERO,0,30.2734
A,0,1,ZERO,0,30.8594
A,1,1,ZERO,0,30.0232
A,2,1,ZERO,0,29.9805
A,3,1,ZERO,0,29.7852
A,4,1,ZERO,0,29.9805
A,6,1,ZERO,0,29.4800
A,8,1,ZERO,0,30.3711
A,12,1,ZERO,0,30.0507
A,16,1,ZERO,0,29.2969
A,0,2,ZERO,0,30.6641
A,1,2,ZERO,0,30.3711
A,2,2,ZERO,0,30.1758
A,3,2,ZERO,0,29.5898
A,4,2,ZERO,0,29.3915
A,6,2,ZERO,0,29.3655
A,8,2,ZERO,0,29.2603
A,12,2,ZERO,0,28.8086
A,16,2,ZERO,0,29.7676
A,0,3,ZERO,0,30.5115
A,1,3,ZERO,0,30.2452
A,2,3,ZERO,0,29.7852
A,3,3,ZERO,0,29.7920
A,4,3,ZERO,0,29.8828
A,6,3,ZERO,0,29.5456
A,8,3,ZERO,0,28.4134
A,12,3,ZERO,0,28.5080
A,16,3,ZERO,0,29.8782
B,3,0,ONE,0,29.8843
B,3,0,ONE,1,28.5843
B,3,0,ONE,2,28.5233
B,3,0,ONE,4,27.7344
B,3,0,ONE,8,26.5625
B,3,0,ONE,16,27.4574
