calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm2.txt,72,45340,45823,973,360,Z0
calib_dimm2.txt,72,45356,45776,987,1118,Z2
calib_dimm2.txt,72,45364,45568,1120,1262,Z2
calib_dimm2.txt,72,45372,45561,1143,1294,Z2
calib_dimm2.txt,72,45378,45726,976,562,Z0
calib_dimm2.txt,72,45396,45730,993,983,Z0
calib_dimm2.txt,72,45398,45698,999,940,Z0
calib_dimm2.txt,72,45401,45756,955,222,Z0
calib_dimm2.txt,72,45423,45523,1134,1687,Z2
calib_dimm2.txt,72,45464,45857,983,931,Z0
calib_dimm2.txt,72,45479,45713,991,1578,Z2
calib_dimm2.txt,72,45480,45914,974,914,Z0
calib_dimm2.txt,72,45493,45682,1026,1745,Z2
calib_dimm2.txt,72,45515,45746,988,1426,Z2
calib_dimm2.txt,72,45541,45938,958,755,Z0
calib_dimm2.txt,72,45554,45848,870,728,Z0
calib_dimm2.txt,72,45565,45664,1048,1852,Z2
calib_dimm2.txt,72,45574,45649,1063,1905,Z2
calib_dimm2.txt,72,45578,45918,1072,1247,Z2
calib_dimm2.txt,72,45583,45804,1000,1673,Z2
calib_dimm2.txt,72,45594,45932,1022,1207,Z2
calib_dimm2.txt,72,45612,45766,1152,1871,Z2
calib_dimm2.txt,72,45629,45862,1015,1030,Z2
calib_dimm2.txt,72,45641,45723,1113,1855,Z2
calib_dimm2.txt,72,45655,45758,1027,1704,Z2
calib_dimm2.txt,72,45667,45942,1080,1001,Z0
calib_dimm2.txt,72,45720,45885,1164,1343,Z2
calib_dimm2.txt,72,45749,45798,1125,1547,Z2
calib_dimm2.txt,72,45782,45832,1089,1393,Z2
calib_dimm2.txt,72,45788,45851,1051,1171,Z2
calib_dimm2.txt,72,45800,45914,1184,1126,Z0
calib_dimm2.txt,78,49178,49622,994,1051,Z2
calib_dimm2.txt,78,49187,49407,1078,1621,Z2
calib_dimm2.txt,78,49199,49433,1056,1241,Z2
calib_dimm2.txt,78,49220,49512,1073,1642,Z2
calib_dimm2.txt,78,49221,49679,917,77,Z0
calib_dimm2.txt,78,49227,49554,982,561,Z0
calib_dimm2.txt,78,49232,49465,1001,1230,Z2
calib_dimm2.txt,78,49233,49358,1027,1307,Z2
calib_dimm2.txt,78,49235,49639,998,1161,Z2
calib_dimm2.txt,78,49239,49509,1070,1536,Z2
calib_dimm2.txt,78,49253,49708,902,77,Z0
calib_dimm2.txt,78,49254,49336,1139,1599,Z2
calib_dimm2.txt,78,49272,49481,1009,1478,Z2
calib_dimm2.txt,78,49291,49719,992,926,Z0
calib_dimm2.txt,78,49320,49521,1027,1836,Z2
calib_dimm2.txt,78,49365,49455,1104,1941,Z2
calib_dimm2.txt,78,49371,49461,1129,1963,Z2
calib_dimm2.txt,78,49389,49596,999,1410,Z2
calib_dimm2.txt,78,49411,49650,1065,1760,Z2
calib_dimm2.txt,78,49426,49723,1043,1335,Z2
calib_dimm2.txt,78,49430,49580,1100,1880,Z2
calib_dimm2.txt,78,49461,49778,998,1053,Z2
calib_dimm2.txt,78,49493,49580,1052,1767,Z2
calib_dimm2.txt,78,49495,49573,1152,1818,Z2
calib_dimm2.txt,78,49511,49555,1103,1790,Z2
calib_dimm2.txt,78,49515,49625,1179,1730,Z2
calib_dimm2.txt,78,49586,49731,1113,1265,Z2
calib_dimm2.txt,78,49602,49715,1114,1267,Z2
calib_dimm2.txt,78,49657,49696,1101,1190,Z2
calib_dimm2.txt,78,49674,49725,1153,1217,Z2
calib_dimm2.txt,78,49677,49744,1151,1213,Z2
calib_dimm2.txt,86,54150,54620,996,1136,Z2
calib_dimm2.txt,86,54163,54503,1027,1577,Z2
calib_dimm2.txt,86,54167,54212,1204,1030,Z0
calib_dimm2.txt,86,54170,54257,1184,1076,Z0
calib_dimm2.txt,86,54216,54713,909,145,Z0
calib_dimm2.txt,86,54225,54620,975,615,Z0
calib_dimm2.txt,86,54225,54659,961,337,Z0
calib_dimm2.txt,86,54230,54771,923,297,Z0
calib_dimm2.txt,86,54237,54338,1150,1405,Z2
calib_dimm2.txt,86,54241,54739,845,162,Z0
calib_dimm2.txt,86,54261,54607,983,1223,Z2
calib_dimm2.txt,86,54274,54518,1058,1960,Z2
calib_dimm2.txt,86,54275,54326,1126,1738,Z2
calib_dimm2.txt,86,54297,54356,1079,1803,Z2
calib_dimm2.txt,86,54303,54693,933,893,Z0
calib_dimm2.txt,86,54306,54427,1021,1820,Z2
calib_dimm2.txt,86,54309,54576,1037,1623,Z2
calib_dimm2.txt,86,54320,54666,983,1186,Z2
calib_dimm2.txt,86,54336,54403,1004,1792,Z2
calib_dimm2.txt,86,54338,54613,1003,1507,Z2
calib_dimm2.txt,86,54345,54576,991,1579,Z2
calib_dimm2.txt,86,54367,54524,1038,1883,Z2
calib_dimm2.txt,86,54384,54655,1016,1314,Z2
calib_dimm2.txt,86,54412,54770,1027,1224,Z2
calib_dimm2.txt,86,54419,54719,1130,1359,Z2
calib_dimm2.txt,86,54423,54474,1084,1959,Z2
calib_dimm2.txt,86,54427,54444,1056,1975,Z2
calib_dimm2.txt,86,54479,54616,1021,1842,Z2
calib_dimm2.txt,86,54510,54692,1008,1214,Z2
calib_dimm2.txt,86,54511,54710,1032,1107,Z2
calib_dimm2.txt,86,54524,54600,1121,1801,Z2
calib_dimm2.txt,86,54590,54764,1129,1178,Z2
calib_dimm2.txt,86,54591,54765,1128,1180,Z2
calib_dimm2.txt,86,54600,54769,1161,1158,Z0
