calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm0.txt,61,38446,38501,1201,1165,Z0
calib_dimm0.txt,61,38454,38604,1230,1510,Z2
calib_dimm0.txt,61,38464,38762,998,1535,Z2
calib_dimm0.txt,61,38477,38943,773,23,Z0
calib_dimm0.txt,61,38493,38807,991,955,Z0
calib_dimm0.txt,61,38505,39000,663,88,Z0
calib_dimm0.txt,61,38515,38618,1023,1600,Z2
calib_dimm0.txt,61,38523,38791,980,836,Z0
calib_dimm0.txt,61,38549,38704,1107,1780,Z2
calib_dimm0.txt,61,38567,39008,829,595,Z0
calib_dimm0.txt,61,38567,38970,910,595,Z0
calib_dimm0.txt,61,38568,38837,1009,1250,Z2
calib_dimm0.txt,61,38643,38751,1093,1971,Z2
calib_dimm0.txt,61,38684,38915,1007,1312,Z2
calib_dimm0.txt,61,38721,38963,892,1006,Z2
calib_dimm0.txt,61,38722,38789,1051,1620,Z2
calib_dimm0.txt,61,38732,38822,1120,1898,Z2
calib_dimm0.txt,61,38758,38866,1065,1781,Z2
calib_dimm0.txt,61,38806,39015,1130,1061,Z0
calib_dimm0.txt,61,38854,38922,1029,1338,Z2
calib_dimm0.txt,77,48528,48934,999,1126,Z2
calib_dimm0.txt,77,48532,48903,921,212,Z0
calib_dimm0.txt,77,48537,48976,985,606,Z0
calib_dimm0.txt,77,48542,48687,1055,1305,Z2
calib_dimm0.txt,77,48557,48878,994,1089,Z2
calib_dimm0.txt,77,48571,48734,1041,1580,Z2
calib_dimm0.txt,77,48578,48939,977,488,Z0
calib_dimm0.txt,77,48626,48936,980,1023,Z2
calib_dimm0.txt,77,48641,48766,1028,1894,Z2
calib_dimm0.txt,77,48656,48909,988,1072,Z2
calib_dimm0.txt,77,48656,48838,1085,1943,Z2
calib_dimm0.txt,77,48690,48795,1009,1852,Z2
calib_dimm0.txt,77,48699,49026,984,901,Z0
calib_dimm0.txt,77,48708,48969,1028,1571,Z2
calib_dimm0.txt,77,48710,48892,1173,1981,Z2
calib_dimm0.txt,77,48720,49001,1000,1453,Z2
calib_dimm0.txt,77,48735,49045,868,913,Z2
calib_dimm0.txt,77,48746,48822,1063,1956,Z2
calib_dimm0.txt,77,48758,48904,953,1679,Z2
calib_dimm0.txt,77,48830,48885,1091,1934,Z2
calib_dimm0.txt,77,48844,48977,1105,1788,Z2
calib_dimm0.txt,77,48868,49066,911,1105,Z2
calib_dimm0.txt,77,48876,48960,1078,1863,Z2
calib_dimm0.txt,77,48881,49027,934,1117,Z2
calib_dimm0.txt,77,48928,49075,1231,1236,Z2
calib_dimm0.txt,77,48948,49047,1230,1172,Z0
calib_dimm0.txt,77,49026,49077,1256,1215,Z0
calib_dimm0.txt,93,58626,58733,1077,1176,Z2
calib_dimm0.txt,93,58631,58786,1259,1309,Z2
calib_dimm0.txt,93,58678,58754,1216,1476,Z2
calib_dimm0.txt,93,58683,58732,1069,1410,Z2
calib_dimm0.txt,93,58688,58857,1061,1771,Z2
calib_dimm0.txt,93,58707,58919,1030,1677,Z2
calib_dimm0.txt,93,58709,59183,908,447,Z0
calib_dimm0.txt,93,58710,58993,1146,1636,Z2
calib_dimm0.txt,93,58712,58798,1085,1689,Z2
calib_dimm0.txt,93,58717,59049,971,1258,Z2
calib_dimm0.txt,93,58720,59245,693,227,Z0
calib_dimm0.txt,93,58726,58908,1073,1539,Z2
calib_dimm0.txt,93,58741,58768,1218,1505,Z2
calib_dimm0.txt,93,58747,59185,841,329,Z0
calib_dimm0.txt,93,58749,59203,841,438,Z0
calib_dimm0.txt,93,58762,58817,1175,1818,Z2
calib_dimm0.txt,93,58860,59064,881,1694,Z2
calib_dimm0.txt,93,58866,59223,738,724,Z0
calib_dimm0.txt,93,58871,59045,959,1816,Z2
calib_dimm0.txt,93,58883,59166,1069,1202,Z2
calib_dimm0.txt,93,58924,58979,1152,1974,Z2
calib_dimm0.txt,93,58969,59024,1102,1819,Z2
calib_dimm0.txt,93,58989,59097,1061,1808,Z2
calib_dimm0.txt,93,59003,59240,997,1041,Z2
calib_dimm0.txt,93,59039,59138,1182,1529,Z2
calib_dimm0.txt,93,59068,59075,1204,1769,Z2
