calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm2.txt,72,45340,45823,974,389,Z0
calib_dimm2.txt,72,45356,45776,991,1164,Z2
calib_dimm2.txt,72,45364,45568,1103,1351,Z2
calib_dimm2.txt,72,45372,45561,1139,1306,Z2
calib_dimm2.txt,72,45378,45726,976,628,Z0
calib_dimm2.txt,72,45396,45730,1001,1093,Z2
calib_dimm2.txt,72,45398,45698,995,999,Z2
calib_dimm2.txt,72,45401,45756,952,221,Z0
calib_dimm2.txt,72,45423,45523,1157,1743,Z2
calib_dimm2.txt,72,45464,45857,981,960,Z0
calib_dimm2.txt,72,45479,45713,993,1602,Z2
calib_dimm2.txt,72,45480,45914,984,943,Z0
calib_dimm2.txt,72,45493,45682,1027,1800,Z2
calib_dimm2.txt,72,45515,45746,988,1444,Z2
calib_dimm2.txt,72,45541,45938,949,816,Z0
calib_dimm2.txt,72,45554,45848,876,787,Z0
calib_dimm2.txt,72,45565,45664,1040,1867,Z2
calib_dimm2.txt,72,45574,45649,1072,1925,Z2
calib_dimm2.txt,72,45578,45918,1082,1222,Z2
calib_dimm2.txt,72,45583,45804,998,1711,Z2
calib_dimm2.txt,72,45594,45932,1014,1193,Z2
calib_dimm2.txt,72,45612,45766,1148,1872,Z2
calib_dimm2.txt,72,45629,45862,1008,1002,Z0
calib_dimm2.txt,72,45641,45723,1122,1813,Z2
calib_dimm2.txt,72,45655,45758,1031,1718,Z2
calib_dimm2.txt,72,45667,45942,1068,1015,Z0
calib_dimm2.txt,72,45720,45885,1155,1325,Z2
calib_dimm2.txt,72,45749,45798,1120,1527,Z2
calib_dimm2.txt,72,45782,45832,1125,1378,Z2
calib_dimm2.txt,72,45788,45851,1048,1175,Z2
calib_dimm2.txt,72,45800,45914,1218,1123,Z0
calib_dimm2.txt,78,49178,49622,995,1152,Z2
calib_dimm2.txt,78,49187,49407,1114,1669,Z2
calib_dimm2.txt,78,49189,49292,1065,1074,Z2
calib_dimm2.txt,78,49199,49433,1074,1320,Z2
calib_dimm2.txt,78,49220,49512,1064,1709,Z2
calib_dimm2.txt,78,49221,49679,947,108,Z0
calib_dimm2.txt,78,49227,49554,988,631,Z0
calib_dimm2.txt,78,49232,49465,1003,1245,Z2
calib_dimm2.txt,78,49233,49358,1023,1307,Z2
calib_dimm2.txt,78,49235,49639,997,1263,Z2
calib_dimm2.txt,78,49239,49509,1073,1586,Z2
calib_dimm2.txt,78,49240,49682,980,456,Z0
calib_dimm2.txt,78,49253,49708,936,127,Z0
calib_dimm2.txt,78,49254,49336,1145,1655,Z2
calib_dimm2.txt,78,49272,49481,1008,1493,Z2
calib_dimm2.txt,78,49291,49719,996,974,Z0
calib_dimm2.txt,78,49320,49521,1031,1883,Z2
calib_dimm2.txt,78,49365,49455,1136,1972,Z2
calib_dimm2.txt,78,49371,49461,1136,1979,Z2
calib_dimm2.txt,78,49389,49596,1009,1504,Z2
calib_dimm2.txt,78,49411,49650,1075,1789,Z2
calib_dimm2.txt,78,49426,49723,1056,1437,Z2
calib_dimm2.txt,78,49430,49580,1108,1909,Z2
calib_dimm2.txt,78,49461,49778,1000,1110,Z2
calib_dimm2.txt,78,49493,49580,1059,1810,Z2
calib_dimm2.txt,78,49495,49573,1154,1893,Z2
calib_dimm2.txt,78,49511,49555,1097,1841,Z2
calib_dimm2.txt,78,49515,49625,1178,1783,Z2
calib_dimm2.txt,78,49586,49731,1125,1319,Z2
calib_dimm2.txt,78,49602,49715,1125,1338,Z2
calib_dimm2.txt,78,49657,49696,1110,1226,Z2
calib_dimm2.txt,78,49674,49725,1205,1252,Z2
calib_dimm2.txt,78,49677,49744,1156,1245,Z2
calib_dimm2.txt,86,54150,54620,995,1212,Z2
calib_dimm2.txt,86,54163,54503,1052,1554,Z2
calib_dimm2.txt,86,54167,54212,1218,1038,Z0
calib_dimm2.txt,86,54170,54257,1201,1097,Z0
calib_dimm2.txt,86,54216,54713,928,147,Z0
calib_dimm2.txt,86,54225,54620,977,731,Z0
calib_dimm2.txt,86,54225,54659,970,447,Z0
calib_dimm2.txt,86,54230,54771,934,302,Z0
calib_dimm2.txt,86,54237,54338,1173,1450,Z2
calib_dimm2.txt,86,54241,54739,889,212,Z0
calib_dimm2.txt,86,54261,54607,988,1337,Z2
calib_dimm2.txt,86,54274,54518,1049,1945,Z2
calib_dimm2.txt,86,54275,54326,1145,1754,Z2
calib_dimm2.txt,86,54297,54356,1081,1818,Z2
calib_dimm2.txt,86,54303,54693,958,1037,Z2
calib_dimm2.txt,86,54306,54427,1027,1822,Z2
calib_dimm2.txt,86,54309,54576,1057,1632,Z2
calib_dimm2.txt,86,54320,54666,979,1252,Z2
calib_dimm2.txt,86,54336,54403,1009,1787,Z2
calib_dimm2.txt,86,54338,54613,999,1564,Z2
calib_dimm2.txt,86,54345,54576,988,1600,Z2
calib_dimm2.txt,86,54367,54524,1053,1877,Z2
calib_dimm2.txt,86,54384,54655,1004,1348,Z2
calib_dimm2.txt,86,54412,54770,1026,1299,Z2
calib_dimm2.txt,86,54419,54719,1155,1472,Z2
calib_dimm2.txt,86,54423,54474,1091,1966,Z2
calib_dimm2.txt,86,54427,54444,1077,1956,Z2
calib_dimm2.txt,86,54479,54616,1024,1845,Z2
calib_dimm2.txt,86,54510,54692,1016,1315,Z2
calib_dimm2.txt,86,54511,54710,1032,1155,Z2
calib_dimm2.txt,86,54524,54600,1155,1841,Z2
calib_dimm2.txt,86,54590,54764,1168,1263,Z2
calib_dimm2.txt,86,54591,54765,1173,1224,Z2
calib_dimm2.txt,86,54600,54769,1176,1235,Z2
