calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm0.txt,61,38424,38988,936,270,Z0
calib_dimm0.txt,61,38446,38501,1195,1178,Z0
calib_dimm0.txt,61,38454,38604,1229,1486,Z2
calib_dimm0.txt,61,38464,38762,1010,1507,Z2
calib_dimm0.txt,61,38468,38926,839,42,Z0
calib_dimm0.txt,61,38477,38943,767,36,Z0
calib_dimm0.txt,61,38483,38553,1211,1389,Z2
calib_dimm0.txt,61,38493,38807,998,909,Z0
calib_dimm0.txt,61,38505,39000,681,105,Z0
calib_dimm0.txt,61,38515,38618,1035,1629,Z2
calib_dimm0.txt,61,38521,38923,889,116,Z0
calib_dimm0.txt,61,38523,38791,986,814,Z0
calib_dimm0.txt,61,38549,38704,1098,1827,Z2
calib_dimm0.txt,61,38567,39008,782,455,Z0
calib_dimm0.txt,61,38567,38970,874,470,Z0
calib_dimm0.txt,61,38568,38837,1001,1212,Z2
calib_dimm0.txt,61,38611,39039,828,764,Z0
calib_dimm0.txt,61,38643,38751,1131,1971,Z2
calib_dimm0.txt,61,38684,38915,1017,1376,Z2
calib_dimm0.txt,61,38721,38963,925,1059,Z2
calib_dimm0.txt,61,38722,38789,1071,1707,Z2
calib_dimm0.txt,61,38732,38822,1167,1908,Z2
calib_dimm0.txt,61,38739,38909,1266,1795,Z2
calib_dimm0.txt,61,38758,38866,1119,1767,Z2
calib_dimm0.txt,61,38806,39015,1155,1092,Z0
calib_dimm0.txt,61,38854,38922,1094,1363,Z2
calib_dimm0.txt,61,38882,38932,1035,1180,Z2
calib_dimm0.txt,77,48528,48934,988,1027,Z2
calib_dimm0.txt,77,48532,48903,938,222,Z0
calib_dimm0.txt,77,48537,48976,977,430,Z0
calib_dimm0.txt,77,48539,49090,753,27,Z0
calib_dimm0.txt,77,48539,48984,1000,466,Z0
calib_dimm0.txt,77,48542,48687,1070,1332,Z2
calib_dimm0.txt,77,48557,48878,987,1190,Z2
calib_dimm0.txt,77,48571,48734,1038,1585,Z2
calib_dimm0.txt,77,48578,48939,974,481,Z0
calib_dimm0.txt,77,48626,48936,968,973,Z2
calib_dimm0.txt,77,48641,48766,1038,1859,Z2
calib_dimm0.txt,77,48656,48909,985,1090,Z2
calib_dimm0.txt,77,48656,48838,1087,1921,Z2
calib_dimm0.txt,77,48690,48795,1015,1823,Z2
calib_dimm0.txt,77,48699,49026,966,827,Z0
calib_dimm0.txt,77,48708,48969,1017,1606,Z2
calib_dimm0.txt,77,48710,48892,1170,1963,Z2
calib_dimm0.txt,77,48720,49001,1000,1435,Z2
calib_dimm0.txt,77,48735,49045,850,912,Z2
calib_dimm0.txt,77,48746,48822,1074,1914,Z2
calib_dimm0.txt,77,48754,49115,868,780,Z0
calib_dimm0.txt,77,48758,48904,915,1608,Z2
calib_dimm0.txt,77,48765,49076,897,775,Z0
calib_dimm0.txt,77,48830,48885,1102,1855,Z2
calib_dimm0.txt,77,48844,48977,1108,1713,Z2
calib_dimm0.txt,77,48868,49066,892,1091,Z2
calib_dimm0.txt,77,48870,49087,1012,1002,Z0
calib_dimm0.txt,77,48876,48960,1054,1793,Z2
calib_dimm0.txt,77,48881,49027,918,1104,Z2
calib_dimm0.txt,77,48928,49075,1212,1206,Z0
calib_dimm0.txt,77,48948,49047,1202,1189,Z0
calib_dimm0.txt,77,48968,49049,1199,1158,Z0
calib_dimm0.txt,77,49026,49077,1241,1195,Z0
calib_dimm0.txt,93,58626,58733,1097,1158,Z2
calib_dimm0.txt,93,58631,58786,1274,1343,Z2
calib_dimm0.txt,93,58678,58754,1252,1465,Z2
calib_dimm0.txt,93,58683,58732,1145,1441,Z2
calib_dimm0.txt,93,58688,58857,1060,1760,Z2
calib_dimm0.txt,93,58708,59246,872,601,Z0
calib_dimm0.txt,93,58709,59183,899,486,Z0
calib_dimm0.txt,93,58710,58993,1128,1709,Z2
calib_dimm0.txt,93,58712,58798,1125,1727,Z2
calib_dimm0.txt,93,58717,59049,963,1225,Z2
calib_dimm0.txt,93,58720,59245,693,193,Z0
calib_dimm0.txt,93,58726,58908,1078,1566,Z2
calib_dimm0.txt,93,58741,58768,1229,1511,Z2
calib_dimm0.txt,93,58743,58777,1187,1608,Z2
calib_dimm0.txt,93,58747,59185,830,331,Z0
calib_dimm0.txt,93,58749,59203,837,439,Z0
calib_dimm0.txt,93,58762,58817,1200,1812,Z2
calib_dimm0.txt,93,58860,59064,878,1677,Z2
calib_dimm0.txt,93,58866,59223,747,760,Z2
calib_dimm0.txt,93,58871,59045,948,1830,Z2
calib_dimm0.txt,93,58883,59166,1077,1220,Z2
calib_dimm0.txt,93,58924,58979,1143,1977,Z2
calib_dimm0.txt,93,58969,59024,1101,1847,Z2
calib_dimm0.txt,93,58998,59243,1074,1054,Z0
calib_dimm0.txt,93,59039,59138,1206,1544,Z2
calib_dimm0.txt,93,59068,59075,1228,1800,Z2
