calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm0.txt,61,38424,38988,939,270,Z0
calib_dimm0.txt,61,38446,38501,1180,1240,Z2
calib_dimm0.txt,61,38454,38604,1279,1533,Z2
calib_dimm0.txt,61,38464,38762,1017,1482,Z2
calib_dimm0.txt,61,38468,38926,837,51,Z0
calib_dimm0.txt,61,38477,38943,776,39,Z0
calib_dimm0.txt,61,38483,38553,1222,1457,Z2
calib_dimm0.txt,61,38505,39000,737,122,Z0
calib_dimm0.txt,61,38515,38618,1054,1635,Z2
calib_dimm0.txt,61,38521,38923,890,143,Z0
calib_dimm0.txt,61,38523,38791,982,959,Z0
calib_dimm0.txt,61,38549,38704,1115,1767,Z2
calib_dimm0.txt,61,38567,39008,828,506,Z0
calib_dimm0.txt,61,38567,38970,907,527,Z0
calib_dimm0.txt,61,38568,38837,1003,1303,Z2
calib_dimm0.txt,61,38611,39039,865,769,Z0
calib_dimm0.txt,61,38643,38751,1153,1973,Z2
calib_dimm0.txt,61,38684,38915,1005,1391,Z2
calib_dimm0.txt,61,38721,38963,965,1116,Z2
calib_dimm0.txt,61,38722,38789,1066,1688,Z2
calib_dimm0.txt,61,38732,38822,1155,1890,Z2
calib_dimm0.txt,61,38739,38909,1255,1853,Z2
calib_dimm0.txt,61,38758,38866,1111,1802,Z2
calib_dimm0.txt,61,38806,39015,1147,1094,Z0
calib_dimm0.txt,61,38854,38922,1095,1389,Z2
calib_dimm0.txt,61,38882,38932,1064,1223,Z2
calib_dimm0.txt,77,48532,48903,935,229,Z0
calib_dimm0.txt,77,48537,48976,988,497,Z0
calib_dimm0.txt,77,48542,48687,1067,1340,Z2
calib_dimm0.txt,77,48557,48878,993,1188,Z2
calib_dimm0.txt,77,48571,48734,1033,1607,Z2
calib_dimm0.txt,77,48578,48939,985,519,Z0
calib_dimm0.txt,77,48626,48936,988,973,Z0
calib_dimm0.txt,77,48641,48766,1036,1871,Z2
calib_dimm0.txt,77,48656,48909,991,1091,Z2
calib_dimm0.txt,77,48656,48838,1095,1938,Z2
calib_dimm0.txt,77,48690,48795,1019,1861,Z2
calib_dimm0.txt,77,48699,49026,982,868,Z0
calib_dimm0.txt,77,48708,48969,1018,1549,Z2
calib_dimm0.txt,77,48710,48892,1164,1976,Z2
calib_dimm0.txt,77,48720,49001,1006,1512,Z2
calib_dimm0.txt,77,48735,49045,885,929,Z2
calib_dimm0.txt,77,48746,48822,1055,1942,Z2
calib_dimm0.txt,77,48758,48904,947,1673,Z2
calib_dimm0.txt,77,48765,49076,956,779,Z0
calib_dimm0.txt,77,48830,48885,1095,1919,Z2
calib_dimm0.txt,77,48844,48977,1092,1738,Z2
calib_dimm0.txt,77,48868,49066,933,1109,Z2
calib_dimm0.txt,77,48870,49087,991,1013,Z2
calib_dimm0.txt,77,48876,48960,1089,1846,Z2
calib_dimm0.txt,77,48881,49027,922,1138,Z2
calib_dimm0.txt,77,48928,49075,1198,1220,Z2
calib_dimm0.txt,77,48948,49047,1185,1195,Z2
calib_dimm0.txt,77,49026,49077,1241,1212,Z0
calib_dimm0.txt,93,58683,58732,1088,1408,Z2
calib_dimm0.txt,93,58688,58857,1057,1733,Z2
calib_dimm0.txt,93,58710,58993,1135,1632,Z2
calib_dimm0.txt,93,58712,58798,1133,1713,Z2
calib_dimm0.txt,93,58717,59049,980,1249,Z2
calib_dimm0.txt,93,58720,59245,742,182,Z0
calib_dimm0.txt,93,58726,58908,1077,1516,Z2
calib_dimm0.txt,93,58741,58768,1180,1492,Z2
calib_dimm0.txt,93,58743,58777,1198,1617,Z2
calib_dimm0.txt,93,58747,59185,874,337,Z0
calib_dimm0.txt,93,58749,59203,884,359,Z0
calib_dimm0.txt,93,58762,58817,1157,1798,Z2
calib_dimm0.txt,93,58860,59064,887,1684,Z2
calib_dimm0.txt,93,58866,59223,814,643,Z0
calib_dimm0.txt,93,58871,59045,972,1791,Z2
calib_dimm0.txt,93,58883,59166,1075,1214,Z2
calib_dimm0.txt,93,58924,58979,1087,1963,Z2
calib_dimm0.txt,93,58969,59024,1068,1814,Z2
calib_dimm0.txt,93,58989,59097,1142,1843,Z2
calib_dimm0.txt,93,59039,59138,1167,1546,Z2
calib_dimm0.txt,93,59068,59075,1193,1805,Z2
