calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm0.txt,61,38424,38988,924,258,Z0
calib_dimm0.txt,61,38446,38501,1162,1141,Z0
calib_dimm0.txt,61,38454,38604,1244,1526,Z2
calib_dimm0.txt,61,38464,38762,996,1527,Z2
calib_dimm0.txt,61,38468,38926,823,44,Z0
calib_dimm0.txt,61,38477,38943,759,42,Z0
calib_dimm0.txt,61,38483,38553,1185,1390,Z2
calib_dimm0.txt,61,38493,38807,988,956,Z0
calib_dimm0.txt,61,38505,39000,703,122,Z0
calib_dimm0.txt,61,38515,38618,1016,1625,Z2
calib_dimm0.txt,61,38521,38923,886,140,Z0
calib_dimm0.txt,61,38523,38791,976,833,Z0
calib_dimm0.txt,61,38549,38704,1085,1798,Z2
calib_dimm0.txt,61,38568,38837,1001,1319,Z2
calib_dimm0.txt,61,38611,39039,854,758,Z0
calib_dimm0.txt,61,38643,38751,1111,1958,Z2
calib_dimm0.txt,61,38684,38915,996,1304,Z2
calib_dimm0.txt,61,38721,38963,943,1053,Z2
calib_dimm0.txt,61,38722,38789,1040,1557,Z2
calib_dimm0.txt,61,38732,38822,1118,1881,Z2
calib_dimm0.txt,61,38739,38909,1204,1754,Z2
calib_dimm0.txt,61,38758,38866,1085,1776,Z2
calib_dimm0.txt,61,38806,39015,1117,1051,Z0
calib_dimm0.txt,61,38854,38922,1075,1331,Z2
calib_dimm0.txt,77,48528,48934,996,1043,Z2
calib_dimm0.txt,77,48537,48976,994,571,Z0
calib_dimm0.txt,77,48542,48687,1066,1251,Z2
calib_dimm0.txt,77,48557,48878,994,1032,Z2
calib_dimm0.txt,77,48571,48734,1019,1529,Z2
calib_dimm0.txt,77,48578,48939,982,409,Z0
calib_dimm0.txt,77,48626,48936,969,947,Z0
calib_dimm0.txt,77,48641,48766,1034,1813,Z2
calib_dimm0.txt,77,48656,48909,996,913,Z0
calib_dimm0.txt,77,48656,48838,1084,1891,Z2
calib_dimm0.txt,77,48690,48795,1020,1753,Z2
calib_dimm0.txt,77,48699,49026,980,875,Z0
calib_dimm0.txt,77,48708,48969,1026,1440,Z2
calib_dimm0.txt,77,48710,48892,1146,1958,Z2
calib_dimm0.txt,77,48720,49001,998,1407,Z2
calib_dimm0.txt,77,48735,49045,864,899,Z2
calib_dimm0.txt,77,48746,48822,1059,1907,Z2
calib_dimm0.txt,77,48754,49115,832,700,Z0
calib_dimm0.txt,77,48758,48904,950,1587,Z2
calib_dimm0.txt,77,48830,48885,1076,1858,Z2
calib_dimm0.txt,77,48844,48977,1076,1666,Z2
calib_dimm0.txt,77,48868,49066,909,1097,Z2
calib_dimm0.txt,77,48870,49087,956,989,Z2
calib_dimm0.txt,77,48876,48960,1079,1797,Z2
calib_dimm0.txt,77,48881,49027,926,1074,Z2
calib_dimm0.txt,77,48928,49075,1223,1213,Z0
calib_dimm0.txt,77,48948,49047,1204,1144,Z0
calib_dimm0.txt,77,48968,49049,1165,1135,Z0
calib_dimm0.txt,77,49026,49077,1223,1206,Z0
calib_dimm0.txt,93,58626,58733,1073,1127,Z2
calib_dimm0.txt,93,58631,58786,1228,1220,Z0
calib_dimm0.txt,93,58678,58754,1231,1384,Z2
calib_dimm0.txt,93,58683,58732,1074,1334,Z2
calib_dimm0.txt,93,58688,58857,1051,1700,Z2
calib_dimm0.txt,93,58707,58919,1018,1560,Z2
calib_dimm0.txt,93,58708,59246,887,531,Z0
calib_dimm0.txt,93,58710,58993,1099,1502,Z2
calib_dimm0.txt,93,58712,58798,1089,1655,Z2
calib_dimm0.txt,93,58717,59049,990,1149,Z2
calib_dimm0.txt,93,58720,59245,709,191,Z0
calib_dimm0.txt,93,58726,58908,1071,1452,Z2
calib_dimm0.txt,93,58741,58768,1197,1386,Z2
calib_dimm0.txt,93,58743,58777,1195,1544,Z2
calib_dimm0.txt,93,58747,59185,838,280,Z0
calib_dimm0.txt,93,58749,59203,813,366,Z0
calib_dimm0.txt,93,58762,58817,1161,1738,Z2
calib_dimm0.txt,93,58860,59064,897,1617,Z2
calib_dimm0.txt,93,58871,59045,974,1741,Z2
calib_dimm0.txt,93,58883,59166,1059,1219,Z2
calib_dimm0.txt,93,58924,58979,1086,1950,Z2
calib_dimm0.txt,93,58969,59024,1060,1755,Z2
calib_dimm0.txt,93,59039,59138,1137,1452,Z2
calib_dimm0.txt,93,59068,59075,1152,1739,Z2
calib_dimm0.txt,93,59140,59243,1150,1078,Z0
