calib,s_id,Rf,Rs,quick_Z0,quick_Z2,best
calib_dimm2.txt,72,45340,45823,976,492,Z0
calib_dimm2.txt,72,45356,45776,1003,1211,Z2
calib_dimm2.txt,72,45364,45568,1141,1397,Z2
calib_dimm2.txt,72,45372,45561,1167,1394,Z2
calib_dimm2.txt,72,45378,45726,975,735,Z0
calib_dimm2.txt,72,45396,45730,1002,1128,Z2
calib_dimm2.txt,72,45398,45698,1006,1122,Z2
calib_dimm2.txt,72,45401,45756,970,476,Z0
calib_dimm2.txt,72,45423,45523,1129,1772,Z2
calib_dimm2.txt,72,45464,45857,986,1119,Z2
calib_dimm2.txt,72,45479,45713,1008,1693,Z2
calib_dimm2.txt,72,45480,45914,982,1000,Z2
calib_dimm2.txt,72,45493,45682,1038,1836,Z2
calib_dimm2.txt,72,45515,45746,990,1522,Z2
calib_dimm2.txt,72,45541,45938,964,820,Z0
calib_dimm2.txt,72,45554,45848,885,877,Z0
calib_dimm2.txt,72,45565,45664,1072,1905,Z2
calib_dimm2.txt,72,45574,45649,1105,1963,Z2
calib_dimm2.txt,72,45578,45918,1076,1323,Z2
calib_dimm2.txt,72,45583,45804,1002,1758,Z2
calib_dimm2.txt,72,45594,45932,1029,1300,Z2
calib_dimm2.txt,72,45612,45766,1145,1901,Z2
calib_dimm2.txt,72,45629,45862,1012,1159,Z2
calib_dimm2.txt,72,45641,45723,1160,1881,Z2
calib_dimm2.txt,72,45655,45758,1068,1815,Z2
calib_dimm2.txt,72,45667,45942,1072,1078,Z2
calib_dimm2.txt,72,45720,45885,1208,1452,Z2
calib_dimm2.txt,72,45749,45798,1150,1672,Z2
calib_dimm2.txt,72,45782,45832,1110,1451,Z2
calib_dimm2.txt,72,45788,45851,1090,1267,Z2
calib_dimm2.txt,78,49178,49622,989,1211,Z2
calib_dimm2.txt,78,49187,49407,1076,1725,Z2
calib_dimm2.txt,78,49189,49292,1098,1178,Z2
calib_dimm2.txt,78,49199,49433,1069,1418,Z2
calib_dimm2.txt,78,49220,49512,1067,1748,Z2
calib_dimm2.txt,78,49221,49679,943,207,Z0
calib_dimm2.txt,78,49227,49554,986,827,Z0
calib_dimm2.txt,78,49232,49465,999,1423,Z2
calib_dimm2.txt,78,49233,49358,1059,1504,Z2
calib_dimm2.txt,78,49235,49639,984,1333,Z2
calib_dimm2.txt,78,49239,49509,1075,1656,Z2
calib_dimm2.txt,78,49240,49682,975,554,Z0
calib_dimm2.txt,78,49253,49708,940,241,Z0
calib_dimm2.txt,78,49254,49336,1142,1763,Z2
calib_dimm2.txt,78,49272,49481,1009,1607,Z2
calib_dimm2.txt,78,49291,49719,988,1032,Z2
calib_dimm2.txt,78,49320,49521,1039,1907,Z2
calib_dimm2.txt,78,49365,49455,1116,1985,Z2
calib_dimm2.txt,78,49371,49461,1142,1993,Z2
calib_dimm2.txt,78,49389,49596,991,1573,Z2
calib_dimm2.txt,78,49411,49650,1050,1855,Z2
calib_dimm2.txt,78,49426,49723,1050,1457,Z2
calib_dimm2.txt,78,49430,49580,1103,1940,Z2
calib_dimm2.txt,78,49461,49778,995,1152,Z2
calib_dimm2.txt,78,49493,49580,1059,1869,Z2
calib_dimm2.txt,78,49495,49573,1145,1915,Z2
calib_dimm2.txt,78,49511,49555,1098,1883,Z2
calib_dimm2.txt,78,49515,49625,1178,1829,Z2
calib_dimm2.txt,78,49586,49731,1127,1434,Z2
calib_dimm2.txt,78,49602,49715,1149,1403,Z2
calib_dimm2.txt,78,49657,49696,1121,1280,Z2
calib_dimm2.txt,78,49674,49725,1216,1328,Z2
calib_dimm2.txt,78,49677,49744,1176,1307,Z2
calib_dimm2.txt,86,54150,54620,1004,1283,Z2
calib_dimm2.txt,86,54163,54503,1065,1641,Z2
calib_dimm2.txt,86,54167,54212,1217,1054,Z0
calib_dimm2.txt,86,54170,54257,1254,1124,Z0
calib_dimm2.txt,86,54216,54713,944,251,Z0
calib_dimm2.txt,86,54225,54620,980,882,Z0
calib_dimm2.txt,86,54225,54659,978,503,Z0
calib_dimm2.txt,86,54230,54771,971,483,Z0
calib_dimm2.txt,86,54237,54338,1158,1482,Z2
calib_dimm2.txt,86,54241,54739,886,273,Z0
calib_dimm2.txt,86,54261,54607,988,1410,Z2
calib_dimm2.txt,86,54274,54518,1071,1942,Z2
calib_dimm2.txt,86,54275,54326,1163,1741,Z2
calib_dimm2.txt,86,54297,54356,1096,1794,Z2
calib_dimm2.txt,86,54303,54693,942,1049,Z2
calib_dimm2.txt,86,54306,54427,1042,1834,Z2
calib_dimm2.txt,86,54309,54576,1066,1658,Z2
calib_dimm2.txt,86,54320,54666,984,1303,Z2
calib_dimm2.txt,86,54336,54403,1012,1783,Z2
calib_dimm2.txt,86,54338,54613,1013,1576,Z2
calib_dimm2.txt,86,54345,54576,994,1657,Z2
calib_dimm2.txt,86,54367,54524,1084,1902,Z2
calib_dimm2.txt,86,54384,54655,1014,1326,Z2
calib_dimm2.txt,86,54412,54770,1016,1335,Z2
calib_dimm2.txt,86,54419,54719,1127,1459,Z2
calib_dimm2.txt,86,54423,54474,1123,1979,Z2
calib_dimm2.txt,86,54427,54444,1081,1975,Z2
calib_dimm2.txt,86,54479,54616,1052,1906,Z2
calib_dimm2.txt,86,54510,54692,1016,1339,Z2
calib_dimm2.txt,86,54511,54710,1034,1211,Z2
calib_dimm2.txt,86,54524,54600,1136,1884,Z2
calib_dimm2.txt,86,54590,54764,1120,1292,Z2
calib_dimm2.txt,86,54600,54769,1190,1316,Z2
