Opened /dev/xdma0_h2c_0 -> 3
Opened /dev/xdma0_c2h_0 -> 4
Successfully reset the FPGA!
[rcrand] bender 0 bank 0 : 30000 random pairs, rows [0,65536), t_12=30, t_23 in {1,2}
[platform] BITSTREAM_IMEM in effect: 2048 (compile-time default)
[rcrand] 11600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 11800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 12000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 12200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 12400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 12600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 12800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 13000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 13200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 13400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 13600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 13800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 14000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 14200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 14400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 14600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 14800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 15000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 15200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 15400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 15600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 15800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 16000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 16200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 16400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 16600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 16800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 17000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 17200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 17400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 17600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 17800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 18000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 18200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 18400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 18600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 18800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 19000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 19200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 19400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 19600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 19800/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 20000/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 20200/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 20400/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
[rcrand] 20600/30000 pairs; clones=0 partial(>1000)=0 best=44/8192 (rA=13913,rB=42208)
